абаз - мелкая серебряная монета {монета} 	 type:AAN 
вознесение - основных церковных праздников {праздников} 	 type:AAN 
возок - зимняя крытая повозка {повозка} 	 type:AAN 
войска - Совокупность воинских частей {Совокупность} 	 type:NAN
войско - Совокупность вооруженных сил {Совокупность} 	 type:NAN
вокабулярий - словарь к хрестоматии {словарь} 	 type:NPN
вокализм - Мастерство исполнения музыкальных произведений {Мастерство} 	 type:NNAN 
вокализм - Система гласных звуков {Система} 	 type:NAN
вокзал - Здание для обслуживания {Здание} 	 type:NPN
волк - животное семейства псовых {животное} 	 type:NNA 
волк - хищное животное семейства {животное} 	 type:ANN 
волнение - колебание водной поверхности {колебание} 	 type:NAN
волнограф - Прибор для записи {Прибор} 	 type:NPN
волномер - Прибор для определения {Прибор} 	 type:NPN
волнянка - травянистых растений корневища {растений} 	 type:ANN 
воловня - Помещение для волов {Помещение} 	 type:NPN
волокно - прочная непряденая нить {нить} 	 type:AAN 
волокуша - повозка без колес {повозка} 	 type:NPN
волос - роговое нитевидное образование {образование} 	 type:AAN 
волосовина - Дефект на поверхности {Дефект} 	 type:NPN
волосы - роговые нитевидные образования {образования} 	 type:AAN 
волхв - Служитель языческого культа {Служитель} 	 type:NAN
волчатник - Охотник на волков {Охотник} 	 type:NPN
волчец - колючих сорных трав {трав} 	 type:AAN 
волынка - духовой музыкальный инструмент {инструмент} 	 type:AAN 
вольт-ампер - Единица измерения полной мощности {Единица} 	 type:NNAN 
вольта - шелковистая хлопчатобумажная ткань {ткань} 	 type:AAN 
вольтаметр - Прибор для измерения {Прибор} 	 type:NPN
вольтметр - Прибор для измерения {Прибор} 	 type:NPN
волюнтаризм - направление в философии {направление} 	 type:NPN
воля - основных психических способностей {способностей} 	 type:AAN 
воля - психических способностей человека {способностей} 	 type:ANN 
вонючка - хищное животное семейства {животное} 	 type:ANN 
вооружённость - Оснащенность армии боевой {Оснащенность} 	 type:NNA 
вопли - звуки музыкальных инструментов {звуки} 	 type:NAN
вопрос - Обращение к кому {Обращение} 	 type:NPN
воробей - птичка семейства ткачиковых {птичка} 	 type:NNA 
воронец - растение семейства лютиковых {растение} 	 type:NNA 
воронец - ядовитое травянистое растение {растение} 	 type:AAN 
воронец - травянистое растение семейства {растение} 	 type:ANN 
ворошилка - Машина для ворошения {Машина} 	 type:NPN
ворс - пушок из волосков {пушок} 	 type:NPN
ворсянковые - Семейство двудольных растений {Семейство} 	 type:NAN
восковка - бумага для чертежей {бумага} 	 type:NPN
воскресник - коллективное выполнение какой {выполнение} 	 type:ANN 
восстание - выступление каких социальных групп {выступление} 	 type:NNAN 
востоковед - Специалист в области {Специалист} 	 type:NPN
восточник - Студент факультета восточных языков {Студент} 	 type:NNAN 
восход - Появление небесного светила {Появление} 	 type:NAN
восьмерик - русская мера (счета {мера} 	 type:ANN 
восьмидесятники - Представители прогрессивного направления {Представители} 	 type:NAN
вошь - бескрылое кровососущее насекомое {насекомое} 	 type:AAN 
вражда - неприязненные проникнутые ненавистью {ненавистью} 	 type:AAN 
вражда - проникнутые ненавистью отношения {ненавистью} 	 type:ANN 
вседозволенность - безграничная свобода действий {свобода} 	 type:ANN 
всеобуч - обучение детей школьного возраста {обучение} 	 type:NNAN 
всеобуч - обязательное обучение детей {обучение} 	 type:ANN 
всплеск - кратковременный подъем воды {подъем} 	 type:ANN 
вспых - непродолжительная вспышка пламени {вспышка} 	 type:ANN 
вспышка - быстрое воспламенение чего {воспламенение} 	 type:ANN 
встряска - сотрясение от толчка {сотрясение} 	 type:NPN
втуз - техническое учебное заведение {заведение} 	 type:AAN 
вулканизатор - Аппарат для ремонта {Аппарат} 	 type:NPN
вулканизация - Обработка сырого каучука {Обработка} 	 type:NAN
вулканолог - Специалист в области {Специалист} 	 type:NPN
въездное - Пошлина с приезжего {Пошлина} 	 type:NPN
выбоина - Углубление на поверхности {Углубление} 	 type:NPN
выборы - Избрание путем голосования {Избрание} 	 type:NPN
выварки - Остатки после заваривания {Остатки} 	 type:NPN
выдох - отдельное выталкивание воздуха {выталкивание} 	 type:ANN 
выжарки - Остатки от жаренья {Остатки} 	 type:NPN
выкидыш - преждевременное прекращение беременности {прекращение} 	 type:ANN 
выключатель - Устройство для включения {Устройство} 	 type:NPN
выключка - Увольнение со службы {Увольнение} 	 type:NPN
вымогательство - незаконное требование денег {требование} 	 type:ANN 
вымоина - Углубление на поверхности {Углубление} 	 type:NPN
вымолотки - Остатки после молотьбы {Остатки} 	 type:NPN
вымостка - Настил из камня {Настил} 	 type:NPN
выноска - Приручение ловчих птиц {Приручение} 	 type:NAN
выпотевание - Выделение из чего {Выделение} 	 type:NPN
выпрямитель - Устройство для выпрямления {Устройство} 	 type:NPN
выпушка - Обшивка из меха {Обшивка} 	 type:NPN
выпь - болотная птица семейства {птица} 	 type:ANN 
выраженность - ясное проявление чего {проявление} 	 type:ANN 
выросток - Шкура годовалого теленка {Шкура} 	 type:NAN
высотомер - Прибор для измерения {Прибор} 	 type:NPN
высочество - Титул членов царствующего {Титул} 	 type:NNA 
вытертость - Исчезновение от времени {Исчезновение} 	 type:NPN
вытравка - Способ получения белых {Способ} 	 type:NNA 
вытрезвитель - учреждение для вытрезвления {учреждение} 	 type:NPN
выходка - необычный дерзкий поступок {поступок} 	 type:AAN 
выхухоль - зверек отряда насекомоядных {зверек} 	 type:NNA 
вычуры - сложные замысловатые узоры {узоры} 	 type:AAN 
вычуры - замысловатые узоры украшения {узоры} 	 type:ANN 
вышкостроение - Строительство буровых вышек {Строительство} 	 type:NAN
вьюковожатый - Проводник каравана вьючных животных {Проводник} 	 type:NNAN 
вьюн - рыба отряда карпообразных {рыба} 	 type:NNA 
вьюн - подвижная пресноводная рыба {рыба} 	 type:AAN 
вьюн - пресноводная рыба отряда {рыба} 	 type:ANN 
вьюновые - Семейство пресноводных рыб {Семейство} 	 type:NAN
вьюнок - травянистое сорное растение {растение} 	 type:AAN 
вьюрок - птица отряда воробьиных {птица} 	 type:NNA 
вьюрок - таежная птица отряда {птица} 	 type:ANN 
вяз - дерево семейства ильмовых {дерево} 	 type:NNA 
вязёнки - шерстяные варежки рукавицы {варежки} 	 type:ANN 
вёдро - солнечная сухая погода {погода} 	 type:AAN 
габариты - внешние границы предметов {границы} 	 type:ANN 
габбро - магматическая горная порода {порода} 	 type:AAN 
габитус - Совокупность внешних признаков {Совокупность} 	 type:NAN
гавайцы - Народ восточно группы {Народ} 	 type:NAN
гагара - северная водоплавающая птица {птица} 	 type:AAN 
гагарка - птица семейства чистиковых {птица} 	 type:NNA 
гагары - Отряд водоплавающих птиц {Отряд} 	 type:NAN
гадюки - Семейство ядовитых змей {Семейство} 	 type:NAN
газгольдер - сооружение для приема {сооружение} 	 type:NPN
газировщица - Продавщица газированной воды {Продавщица} 	 type:NAN
газоанализатор - Прибор для определения {Прибор} 	 type:NPN
газовик - Работник газовой промышленности {Работник} 	 type:NAN
газогенератор - Аппарат для переработки {Аппарат} 	 type:NPN
газомер - Прибор для измерения {Прибор} 	 type:NPN
газометр - прибор для собирания {прибор} 	 type:NPN
газонокосилка - Машина для скашивания {Машина} 	 type:NPN
газопровод - Сооружение для подачи {Сооружение} 	 type:NPN
газохранилище - Сооружение для хранения {Сооружение} 	 type:NPN
газыри - гнезда для патронов {гнезда} 	 type:NPN
гайдамак - Участник народно движения {Участник} 	 type:NAN
гайдук - Участник вооруженной борьбы {Участник} 	 type:NAN
гак - Мера земельной площади {Мера} 	 type:NAN
галактики - звездные системы Вселенной {системы} 	 type:ANN 
галантерейщик - Владелец галантерейного магазина {Владелец} 	 type:NAN
галантир - Заливное из мяса {Заливное} 	 type:NPN
галера - гребное военное судно {судно} 	 type:AAN 
галерея - узкий крытый коридор {коридор} 	 type:AAN 
галифе - Брюки особого покроя {Брюки} 	 type:NAN
гало - белые круги пятна {круги} 	 type:ANN 
галс - Курс парусного судна {Курс} 	 type:NAN
галстук-бабочка - Элемент парадной одежды {Элемент} 	 type:NAN
галургия - Отрасль химической технологии {Отрасль} 	 type:NAN
гальванометр - Прибор для измерения {Прибор} 	 type:NPN
гальванопластика - Получение металлических копий {Получение} 	 type:NAN
гальваноскоп - прибор для обнаружения {прибор} 	 type:NPN
гамак - Изделие из сетки {Изделие} 	 type:NPN
гамбит - Начало шахматной партии {Начало} 	 type:NAN
гамбузия - живородящая рыба отряда {рыба} 	 type:ANN 
гамма - единица напряженности магнитного поля {единица} 	 type:NNAN 
гамма - буквы греческого алфавита {буквы} 	 type:NAN
гамма - внесистемная единица массы {единица} 	 type:ANN 
гамма-установка - Аппарат для применения {Аппарат} 	 type:NPN
ганглий - скопление нервных клеток {скопление} 	 type:NAN
гангстер - Участник организованной группы {Участник} 	 type:NAN
гангстеризм - преступной деятельности гангстеров {деятельности} 	 type:ANN 
ганза - союз северо городов {союз} 	 type:NAN
гаолян - растение семейства злаковых {растение} 	 type:NNA 
гараж - Помещение для стоянки {Помещение} 	 type:NPN
гардемарин - Звание воспитанника старшего класса {Звание} 	 type:NNAN 
гардения - кустарник семейства мареновых {кустарник} 	 type:NNA 
гардения - вечнозеленый декоративный кустарник {кустарник} 	 type:AAN 
гардения - декоративный кустарник семейства {кустарник} 	 type:ANN 
гардероб - Шкаф для одежды {Шкаф} 	 type:NPN
гарнец - мера объема сыпучих тел {мера} 	 type:NNAN 
гарпия - птица семейства ястребиных {птица} 	 type:NNA 
гарпия - хищная птица семейства {птица} 	 type:ANN 
гаршнеп - птица отряда ржанкообразных {птица} 	 type:NNA 
гаршнеп - болотная птица отряда {птица} 	 type:ANN 
гасильник - Колпачок для гашения {Колпачок} 	 type:NPN
гаситель - Устройство для ослабления {Устройство} 	 type:NPN
гать - Настил из бревен {Настил} 	 type:NPN
гаулейтер - Руководитель фашистской организации {Руководитель} 	 type:NAN
гауптвахта - Помещение для содержания {Помещение} 	 type:NPN
гаусс - Единица магнитной индукции {Единица} 	 type:NAN
гашетка - Устройство для приведения {Устройство} 	 type:NPN
гваюла - кустарник семейства сложноцветных {кустарник} 	 type:NNA 
гваюла - низкорослый кустарник семейства {кустарник} 	 type:ANN 
гвоздика - бутоны гвоздичного дерева {бутоны} 	 type:NAN
гвоздики - каблуки женских туфель {каблуки} 	 type:NAN
гвоздодёр - Приспособление для вытаскивания {Приспособление} 	 type:NPN
гебраист - Специалист в области {Специалист} 	 type:NPN
гейзер - Источник вулканического происхождения {Источник} 	 type:NAN
гекзаметр - дактилический стихотворный размер {размер} 	 type:AAN 
гектар - Единица земельной площади {Единица} 	 type:NAN
гектограф - аппарат для печатания {аппарат} 	 type:NPN
геликон - инструмент басовой группы {инструмент} 	 type:NAN
геликон - духовой музыкальный инструмент {инструмент} 	 type:AAN 
гелиогеофизик - Специалист в области {Специалист} 	 type:NPN
гелиогравюра - способов глубокой печати {способов} 	 type:NAN
гелиограф - Прибор для передачи {Прибор} 	 type:NPN
гелиометр - Прибор для измерения {Прибор} 	 type:NPN
гелиоустановка - Устройство для преобразования {Устройство} 	 type:NPN
гелиофизик - Специалист в области {Специалист} 	 type:NPN
гельминтолог - Специалист в области {Специалист} 	 type:NPN
гематолог - Специалист в области {Специалист} 	 type:NPN
гемоглобин - железосодержащий пигмент крови {пигмент} 	 type:ANN 
генерал-губернатор - лицо местной администрации {лицо} 	 type:NAN
генерал-инспектор - высших военных должностей {должностей} 	 type:AAN 
генералитет - состав вооруженных сил {состав} 	 type:NAN
генетик - Специалист в области {Специалист} 	 type:NPN
гений - степень творческой одаренности {степень} 	 type:NAN
геоботаник - Специалист в области {Специалист} 	 type:NPN
геогност - Специалист в области {Специалист} 	 type:NPN
географ - Специалист в области {Специалист} 	 type:NPN
геодезист - Специалист в области {Специалист} 	 type:NPN
геокриолог - Специалист в области {Специалист} 	 type:NPN
геолог - Специалист в области {Специалист} 	 type:NPN
геометр - Специалист в области {Специалист} 	 type:NPN
геоморфолог - Специалист в области {Специалист} 	 type:NPN
георгин - растение семейства сложноцветных {растение} 	 type:NNA 
георгин - многолетнее растение семейства {растение} 	 type:ANN 
геофизик - Специалист в области {Специалист} 	 type:NPN
геофизика - Комплекс научных дисциплин {Комплекс} 	 type:NAN
геохимик - Специалист в области {Специалист} 	 type:NPN
гераниевые - Семейство травянистых растений {Семейство} 	 type:NAN
германист - Специалист в области {Специалист} 	 type:NPN
германистика - Совокупность научных дисциплин {Совокупность} 	 type:NAN
геронтолог - Специалист в области {Специалист} 	 type:NPN
герпетолог - Специалист в области {Специалист} 	 type:NPN
герц - Единица частоты периодических колебаний {Единица} 	 type:NNAN 
герцог - высших дворянских титулов {титулов} 	 type:AAN 
гестапо - полиция фашистской Германии {полиция} 	 type:NAN
гиацинт - растение семейства лилейных {растение} 	 type:NNA 
гиацинт - декоративное растение семейства {растение} 	 type:ANN 
гиббоны - Семейство человекообразных обезьян {Семейство} 	 type:NAN
гибка - Придание чему изогнутой формы {Придание} 	 type:NNAN 
гигиенист - Специалист в области {Специалист} 	 type:NPN
гигрометр - Прибор для измерения {Прибор} 	 type:NPN
гидравлик - Специалист в области {Специалист} 	 type:NPN
гидроакустик - Специалист в области {Специалист} 	 type:NPN
гидробиолог - Специалист в области {Специалист} 	 type:NPN
гидрогенератор - Генератор электрического тока {Генератор} 	 type:NAN
гидрогеолог - Специалист в области {Специалист} 	 type:NPN
гидрограф - Специалист в области {Специалист} 	 type:NPN
гидроизоляция - Защита строительных конструкций {Защита} 	 type:NAN
гидролиз - Реакция ионного обмена {Реакция} 	 type:NAN
гидролог - Специалист в области {Специалист} 	 type:NPN
гидролокатор - Прибор для гидролокации {Прибор} 	 type:NPN
гидрометеоролог - Специалист в области {Специалист} 	 type:NPN
гидромеханизация - Способ производства земляных {Способ} 	 type:NNA 
гидропушка - Гидромонитор большой мощности {Гидромонитор} 	 type:NAN
гидросистема - Совокупность гидравлических механизмов {Совокупность} 	 type:NAN
гидротехник - Специалист в области {Специалист} 	 type:NPN
гидроузел - Совокупность гидротехнических сооружений {Совокупность} 	 type:NAN
гидроусилитель - Устройство для усиления {Устройство} 	 type:NPN
гидрофон - Прибор для приема {Прибор} 	 type:NPN
гидрохимик - Специалист в области {Специалист} 	 type:NPN
гидроэнергия - Энергия водного потока {Энергия} 	 type:NAN
гиены - Семейство хищных млекопитающих {Семейство} 	 type:NAN
гильотина - Орудие для совершения {Орудие} 	 type:NPN
гильотинка - Машинка для обрезания {Машинка} 	 type:NPN
гимназия - общеобразовательное учебное заведение {заведение} 	 type:AAN 
гинеколог - Специалист в области {Специалист} 	 type:NPN
гинекология - Раздел клинической медицины {Раздел} 	 type:NAN
гинея - английская золотая монета {монета} 	 type:AAN 
гиперзвук - колебания сверхвысокой частоты {колебания} 	 type:NAN
гипокинезия - Ограничение двигательной активности {Ограничение} 	 type:NAN
гипотенуза - Сторона прямоугольного треугольника {Сторона} 	 type:NAN
гипофиз - Железа внутренней секреции {Железа} 	 type:NAN
гипс - желтовато мягкий минерал {минерал} 	 type:AAN 
гиря - груз определенной массы {груз} 	 type:NAN
гистолог - Специалист в области {Специалист} 	 type:NPN
гитара - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
гитлеризм - диктатура в Германии {диктатура} 	 type:NPN
гитов - Снасть для убирания {Снасть} 	 type:NPN
гичка - быстроходная гребная шлюпка {шлюпка} 	 type:AAN 
глава - завершение церковных построек {завершение} 	 type:NAN
главк - управлений ведомственных подразделений {управлений} 	 type:NAN
главком - Главнокомандующий (в речи {Главнокомандующий} 	 type:NPN
главреж - режиссер (в речи {режиссер} 	 type:NPN
главстаршина - старшина (в речи {старшина} 	 type:NPN
глаголица - древнейших славянских азбук {азбук} 	 type:AAN 
гладиолус - декоративное растение семейства {растение} 	 type:ANN 
гладыш - Насекомое семейства водяных клопов {Насекомое} 	 type:NNAN 
гладыш - гладкий круглый камень {камень} 	 type:AAN 
гладыш - съедобный гриб рода {гриб} 	 type:ANN 
глазировка - глазирование из глазури {глазирование} 	 type:NPN
глазник - Специалист в области {Специалист} 	 type:NPN
глечик - горшок для молока {горшок} 	 type:NPN
гликоген - запасной углевод животных {углевод} 	 type:ANN 
глиномешалка - Устройство для перемешивания {Устройство} 	 type:NPN
глиномялка - Устройство для разминания {Устройство} 	 type:NPN
глиптодонт - млекопитающее отряда неполнозубых {млекопитающее} 	 type:NNA 
глиптотека - Собрание резных камней {Собрание} 	 type:NAN
глицерин - жидкость сладковатого вкуса {жидкость} 	 type:NAN
глициния - кустарник семейства бобовых {кустарник} 	 type:NNA 
глобус - модель земного шара {модель} 	 type:NAN
глубина - Расстояние от поверхности {Расстояние} 	 type:NPN
глубиномер - Прибор для измерения {Прибор} 	 type:NPN
глупыш - водоплавающая птица семейства {птица} 	 type:ANN 
глухарь - птица семейства тетеревиных разг {птица} 	 type:NNAN 
глухарь - лесная птица семейства {птица} 	 type:ANN 
глухота - частичное отсутствие слуха {отсутствие} 	 type:ANN 
глушитель - Устройство для снижения {Устройство} 	 type:NPN
глыба - обломок твердого вещества {обломок} 	 type:NAN
глыба - человек высокого роста {человек} 	 type:NAN
глясе - шелковая блестящая ткань {ткань} 	 type:AAN 
гляциолог - Специалист в области {Специалист} 	 type:NPN
гнев - Чувство сильного негодования {Чувство} 	 type:NAN
гнильца - выраженные признаки гнили {признаки} 	 type:ANN 
гну - животное семейства полорогих {животное} 	 type:NNA 
гобелен - ковер ручной работы {ковер} 	 type:NAN
гобой - духовой музыкальный инструмент {инструмент} 	 type:AAN 
говор - диалекта (в лингвистике {диалекта} 	 type:NPN
говорильня - бесполезные разговоры речи {разговоры} 	 type:ANN 
гоголь - птица семейства утиных {птица} 	 type:NNA 
голавль - рыба семейства карповых {рыба} 	 type:NNA 
голгофа - Холм близ Иерусалима {Холм} 	 type:NPN
голец - рыба семейства вьюновых семейства {рыба} 	 type:NNAN 
голец - пресноводная рыба семейства {рыба} 	 type:ANN 
голиаф - жук семейства пластинчатоусых {жук} 	 type:NNA 
голиаф - крупный жук семейства {жук} 	 type:ANN 
голиаф - Человек огромного роста {Человек} 	 type:NAN
голица - рукавица без подкладки {рукавица} 	 type:NPN
голландка - Самка голландской породы {Самка} 	 type:NAN
головач - Жук семейства пластинчатоусых {Жук} 	 type:NNA 
голографирование - Получение объемного изображения {Получение} 	 type:NAN
голодовка - недоедание вследствие недостатка {недоедание} 	 type:NPN
гололёд - Слой плотного льда {Слой} 	 type:NAN
голос - Звучание голосового аппарата {Звучание} 	 type:NAN
голосеменные - Группа семенных растений {Группа} 	 type:NAN
голубец - русская народная пляска {пляска} 	 type:AAN 
голубизна - голубой цвет чего {цвет} 	 type:ANN 
голубика - Растение семейства брусничных {Растение} 	 type:NNA 
голубинка - оттенок голубого цвета {оттенок} 	 type:NAN
голубь - Птица средней величины {Птица} 	 type:NAN
голубятник - Помещение для домашних {Помещение} 	 type:NPN
голубятня - Помещение для домашних {Помещение} 	 type:NPN
голыш - круглый гладкий камень {камень} 	 type:AAN 
гольфы - Чулки до колен {Чулки} 	 type:NPN
гольцы - вершин в Сибири {вершин} 	 type:NPN
гольцы - безлесных горных вершин {вершин} 	 type:AAN 
гольян - рыба семейства карповых {рыба} 	 type:NNA 
гольян - пресноводная рыба семейства {рыба} 	 type:ANN 
гольё - обнаженное лишенное покрова {покрова} 	 type:AAN 
гомеопат - Специалист в области {Специалист} 	 type:NPN
гомеостаз - динамическое постоянство состава {постоянство} 	 type:ANN 
гондола - плоскодонная венецианская лодка {лодка} 	 type:AAN 
гондольера - Песня венецианских гондольеров {Песня} 	 type:NAN
гониометр - Прибор для измерения {Прибор} 	 type:NPN
гонки - Состязание в скорости {Состязание} 	 type:NPN
горб - выпячивание грудного отдела {выпячивание} 	 type:NAN
горбач - Рубанок для строгания {Рубанок} 	 type:NPN
горбуша - рыба семейства лососевых {рыба} 	 type:NNA 
горбыль - промысловая рыба отряда {рыба} 	 type:ANN 
гордень - Снасть при помощи {Снасть} 	 type:NPN
гордон - сеттер черной масти {сеттер} 	 type:NAN
гордость - Чувство собственного достоинства {Чувство} 	 type:NAN
горелка - Приспособление для горения {Приспособление} 	 type:NPN
горелки - русская народная игра {игра} 	 type:AAN 
горечавковые - Семейство двудольных растений {Семейство} 	 type:NAN
горизонт - Толща отложений горных пород {Толща} 	 type:NNAN 
горилла - крупная человекообразная обезьяна {обезьяна} 	 type:AAN 
горицвет - растение семейства гвоздичных {растение} 	 type:NNA 
горка - шкаф для посуды {шкаф} 	 type:NPN
горка - машина для сортирования {машина} 	 type:NPN
горлица - лесная птица семейства {птица} 	 type:ANN 
горловина - отверстие в чем {отверстие} 	 type:NPN
горлянка - растение семейства тыквенных {растение} 	 type:NNA 
горница - половина крестьянской избы {половина} 	 type:NAN
горнопромышленник - Владелец предприятия горной промышленности {Владелец} 	 type:NNAN 
горностай - пушной зверек семейства {зверек} 	 type:ANN 
город-республика - государство на территории {государство} 	 type:NPN
города-побратимы - пункты различных стран {пункты} 	 type:NAN
городничий - Должность административно начальника {Должность} 	 type:NAN
горох - растение семейства бобовых {растение} 	 type:NNA 
гортань - отдел дыхательных путей {отдел} 	 type:NAN
горчак - растение семейства сложноцветных {растение} 	 type:NNA 
горчица - растение семейства крестоцветных {растение} 	 type:NNA 
горючее - Топливо для двигателей {Топливо} 	 type:NPN
государыня - Глава монархического государства {Глава} 	 type:NAN
государь - Глава монархического государства {Глава} 	 type:NAN
готика - стиль европейского средневековья {стиль} 	 type:NAN
готовальня - Набор чертежных инструментов {Набор} 	 type:NAN
готовность - настроенность на что {настроенность} 	 type:NPN
гофры - складки на поверхности {складки} 	 type:NPN
грабельки - растения семейства гераниевых {растения} 	 type:NNA 
грабельки - сорного травянистого растения {растения} 	 type:AAN 
грабельки - травянистого растения семейства {растения} 	 type:ANN 
грабли - орудие для сгребания {орудие} 	 type:NPN
гравий - осадочная горная порода {порода} 	 type:AAN 
гравилат - травянистое растение семейства {растение} 	 type:ANN 
гравиметрист - Специалист в области {Специалист} 	 type:NPN
градиентометр - Прибор для измерения {Прибор} 	 type:NPN
градус - Единица измерения плоского угла {Единица} 	 type:NNAN 
градусник - Прибор для измерения {Прибор} 	 type:NPN
гражданство - правовая принадлежность лица {принадлежность} 	 type:ANN 
грамм-атом - Число граммов химического элемента {Число} 	 type:NNAN 
грамм-молекула - Число граммов простого {Число} 	 type:NNA 
грамматист - Специалист в области {Специалист} 	 type:NPN
граната - снаряд для поражения {снаряд} 	 type:NPN
гранатомёт - оружие ближнего боя {оружие} 	 type:NAN
гранильник - инструмент для гравирования {инструмент} 	 type:NPN
гранит - магматическая горная порода {порода} 	 type:AAN 
гранка - Столбец печатного набора {Столбец} 	 type:NAN
гранула - плотный комочек какого {комочек} 	 type:ANN 
грань - различием между кем {различием} 	 type:NPN
графин - сосуд (для воды {сосуд} 	 type:NPN
грация - Предмет женского туалета {Предмет} 	 type:NAN
гребешок - донный моллюск семейства {моллюск} 	 type:ANN 
грейдер - Машина для планировки {Машина} 	 type:NPN
грейпфрут - дерево семейства рутовых {дерево} 	 type:NNA 
грейпфрут - вечнозеленое плодовое дерево {дерево} 	 type:AAN 
грейпфрут - плодовое дерево семейства {дерево} 	 type:ANN 
грейфер - приспособление подъемного механизма {приспособление} 	 type:NAN
гремучники - Семейство ядовитых змей {Семейство} 	 type:NAN
гречиха - растение из семян {растение} 	 type:NPN
гречишник - суконная крестьянская шляпа {шляпа} 	 type:AAN 
гречишные - Семейство двудольных растений {Семейство} 	 type:NAN
гречневик - суконная крестьянская шляпа {шляпа} 	 type:AAN 
грибосушилка - Устройство для сушки {Устройство} 	 type:NPN
грибы - группа живых организмов {группа} 	 type:NAN
гриль - Устройство для жарения {Устройство} 	 type:NPN
грим-уборная - Комната для гримирования {Комната} 	 type:NPN
гримаса - непроизвольное искажение выражения {искажение} 	 type:ANN 
гриф - пластина из дерева {пластина} 	 type:NPN
гробница - Сооружение из камня {Сооружение} 	 type:NPN
грог - напиток из рома {напиток} 	 type:NPN
гродетур - плотная шелковая ткань {ткань} 	 type:AAN 
гросфатер - немецкий шуточный танец {танец} 	 type:AAN 
грот - нижний прямой парус {парус} 	 type:AAN 
грохот - сильный оглушительный звук {звук} 	 type:AAN 
грохоток - Решето для отделения {Решето} 	 type:NPN
группа - человек животных растений {человек} 	 type:NAN
групповод - Работник туристско бюро {Работник} 	 type:NAN
грушанковые - Семейство двудольных растений {Семейство} 	 type:NAN
грыжа - Выпадение внутреннего органа {Выпадение} 	 type:NAN
грюндер - Основатель предприятий акционерных обществ {Основатель} 	 type:NNAN 
грюндерство - Создание многочисленных предприятий {Создание} 	 type:NAN
губа - кожно подвижных складок {складок} 	 type:AAN 
губка - изделие из резины {изделие} 	 type:NPN
губоцветные - Семейство двудольных растений {Семейство} 	 type:NAN
гувернантка - домашняя воспитательница детей {воспитательница} 	 type:ANN 
гувернёр - домашний воспитатель детей {воспитатель} 	 type:ANN 
гудок - смычковый музыкальный инструмент {инструмент} 	 type:AAN 
гудрон - масса из отходов {масса} 	 type:NPN
гуж - петля у хомута {петля} 	 type:NPN
гузно - Зад у человека {Зад} 	 type:NPN
гулючки - русская народная игра {игра} 	 type:AAN 
гуменник - Птица семейства утиных {Птица} 	 type:NNA 
гуменце - Кружок на темени {Кружок} 	 type:NPN
гумно - Площадка для молотьбы {Площадка} 	 type:NPN
гунтер - Порода верховых лошадей {Порода} 	 type:NAN
гуртильщик - Рабочий монетного двора {Рабочий} 	 type:NAN
гусеобразные - Отряд водоплавающих птиц {Отряд} 	 type:NAN
гуситы - Участники борьбы народных масс {Участники} 	 type:NNAN 
гусли - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
густера - Рыба семейства карповых {Рыба} 	 type:NNA 
гусь - птица семейства утиных {птица} 	 type:NNA 
гусь - крупная водоплавающая птица {птица} 	 type:AAN 
гусь - водоплавающая птица семейства {птица} 	 type:ANN 
гусятник - многолетнего травянистого растения {растения} 	 type:AAN 
гусятник - травянистого растения семейства {растения} 	 type:ANN 
гусятник - Помещение для гусей {Помещение} 	 type:NPN
гуталин - Мазь для чистки {Мазь} 	 type:NPN
гюрза - ядовитая змея семейства {змея} 	 type:ANN 
давилка - Приспособление для раздробления {Приспособление} 	 type:NPN
давность - Отдаленность по времени {Отдаленность} 	 type:NPN
дайджест - сжатое изложение каких {изложение} 	 type:ANN 
далай-лама - Титул первосвященника ламаистской церкви {Титул} 	 type:NNAN 
дальнобойка - орудие (в речи {орудие} 	 type:NPN
дальномер - Прибор для определения {Прибор} 	 type:NPN
дансинг - Зал для танцев {Зал} 	 type:NPN
дарохранительница - сосуд для хранения {сосуд} 	 type:NPN
дата - календарное время какого {время} 	 type:ANN 
двигателист - Специалист в области {Специалист} 	 type:NPN
двоякодышащие - Подкласс костных рыб {Подкласс} 	 type:NAN
двуперстие - пальца правой руки {пальца} 	 type:NAN
